title,year,genre,director,writer,actors,wiki_url
The Fox,2017,"Drama, Thriller",Klaas van Eijkeren,Klaas van Eijkeren,"Morgan C. Jones, Maarten Dannenberg, Eric Corton, Anita Donk, Joshua Rubin, Noella Brennan, Piet van Eijkeren, Koen van Doorn, Patrick Hendricks, Yvonne Molenaar, Fiona van Rossen, Nastassia Firestone, Harold Brusse, Hugh Gormley, Zeff Lawless","The_Fox_(1967_film), "
Bareilly Ki Barfi,2017,"Comedy, Romance",Ashwiny Iyer Tiwari,"Bareilly Ki Barfi, Shreyas Jain","Ayushmann Khurrana, Kriti Sanon, Rajkummar Rao, Pankaj Tripathi, Rohit Choudhary, Swati Semwal, Javed Akhtar, Seema Bhargava, Rohit Chaudhary, Naila Grewal, Sapna Sand, Vivek Yadav","Bareilly_Ki_Barfi, "
Blackmail,2018,"Comedy, Thriller",Abhinay Deo,"Parveez Sheikh, Pradhuman Singh","Irrfan Khan, Alfredo Tavares, Kirti Kulhari, Urmila Matondkar, Divya Dutta, Arunoday Singh, Omi Vaidya, Gajraj Rao, Anuja Sathe, Neelima Azim, Atul Kale, Pradhuman Singh, Anjali Ujawane, Pravina Bhagwat Deshpande, Vibha Chhibber","Blackmail_(1939_film), Blackmail_(1947_film), Blackmail_(1929_film), "
Ami Je Ke Tomar,2017,Romance,Rabi Kinagi,,"Sayantika Banerjee, Ashim Roy Chowdhury, Ankush Hazra, Nusrat Jahan, Bharat Kaul, Joy Mukherjee, Laboni Sarkar, Reshmi Sen","Ami_Je_Ke_Tomar, "
Ninnu Kori,2017,"Comedy, Romance",Shiva Nirvana,"Shiva Nirvana, Kona Venkat","Nani, Nivetha Thomas, Aadhi, Tanikella Bharani, Murli Sharma, Prudhviraj, Master Aarush, Baby Aarushi, Anusha, Master Aryank Bharadhwaj, Gaana Bhat, Basha Allure Crawford, Amanda Misa Curtis, Dylan Kento Curtis, Baby Nayana Ghattamaneni","Ninnu_Kori, "
Ribbon,2017,"Drama, Family",Rackhee Sandilya,"Raghav Dutt, Manjiri Pupala","Kalki Koechlin, Sumeet Vyas, Pathy Aiyar, Hempushpak Arora, Parul Arora, Priyanka Basu, Om Shankar Bhagat, Nitin Bhardwaj, Rahil Bhardwaj, Rahil Bhardwaj, Bhushan Borgaonkar, Padma Damodaran, Karan Desai, Adam Dow, Raghav Dutt","Ribbon_(film), "
Mandy,2018,"Action, Fantasy, Horror",Panos Cosmatos,"Panos Cosmatos, Aaron Stewart-Ahn","Nicolas Cage, Andrea Riseborough, Linus Roache, Ned Dennehy, Olwen Fouéré, Richard Brake, Bill Duke, Line Pillet, Clément Baronnet, Alexis Julemont, Stephan Fraser, Ivailo Dimitrov, Hayley Saywell, Kalin Kerin, Tamás Hagyuó","Mandy_(1952_film), "
Rangoon,2017,"Action, Crime, Drama",Rajkumar Periasamy,Rajkumar Periasamy,"Gautham Karthik, Lallu, Sana Makbul, Prashant Nair, Daniel Annie Pope, Siddique","Rangoon_(2017_Hindi_film), Rangoon_(2017_Tamil_film), "
Mario,2018,"Drama, Romance, Sport",Marcel Gisler,"Thomas Hess, Marcel Gisler","Max Hubacher, Aaron Altaras, Jessy Moravec, Jürg Plüss, Doro Müggler, Andreas Matti, Joris Gratwohl, Scherwin Amini, Fabrizio Borsani, Julian Koechlin, Gabriel Noah Maurer, Stallone Anderson, Manuel Pereira, Tom Burri, Beat Marti","Mario_(film), "
Maragadha Naanayam,2017,"Adventure, Comedy, Fantasy",Ark Saravan,Ark Saravan,"Aadhi, Anandraj, M.S. Baskar, M.S. Bhaskar, Brahmanandam, Danie, Gajaraj, Nikki Galrani, Mime Gopi, Arunraja Kamaraj, Srinivasa Rao Kota, Munishkanth, Sangili Murugan, K. Pooranesh, Daniel Annie Pope","Maragadha_Naanayam, "
Betrayed,2018,"Action, Crime, Thriller",Harley Wallen,Harley Wallen,"John Savage, Billy Wirth, Richard Tyson, T.J. Storm, Blanca Blanco, Yan Birch, Calhoun Koenig, Colleen Gentry, Julie Kline, Harley Wallen, Jennifer Jelsema, Kayden Bryce, Ammar Nemo, Jimmie Chiappelli, Angelina Danielle Cama","Betrayed_(1954_film), Betrayed_(1988_film), "
Velaiilla Pattadhari 2,2017,"Action, Comedy",Soundarya R. Ashwin,"Soundarya R. Ashwin, Dhanush","Riaz Ahmed, Karrthik Ahuja, Bhai Amma, Rj Ananthi, Andrews, Rajmohan Arumugam, Chettiar, Danny Chugh, T.N. Dhananjayan, Dhanush, Roshan Alias Dinsh, Aashna Duggal, Kaushick Gabriel, Shweta Gai, Monal Gajjar","Velaiilla_Pattadhari_2, "
Velaikkaran,2017,"Action, Thriller",Mohan Raja,"A.N. Balakrishnan, Mohan Raja","Sivakarthikeyan, Fahadh Faasil, Nayanthara, Prakash Raj, Sneha, Rohini, Sathish, RJ Balaji, Vinodhini Vaidynathan, Thambi Ramaiah, Robo Shankar, Mahesh Manjrekar, Aruldoss, Yogi Babu, Charlie","Velaikkaran_(2017_film), "
Method,2017,Drama,Eun-jin Pang,,"Sung-woong Park, Seung-ah Yoon, Seung-Hoon Oh","Method_(film), Method_(2017_film), "
Twelve,2019,"Family, Sport",Steve Grimaldi,Steve Grimaldi,"Erik Heger, Wyatt Ralff, Jennifer Mudge, Jeremy Holm, Liam Obergfoll, James McMenamin, Lexi Collins, Matthew Lawler, Peterson Townsend, Rick Zahn, Chris Cafero, Vincent Pavonetti, Charlie Hudson III, Jake Silbermann, Kenneth Lee Gonzalez","Twelve_(2010_film), "
Chennai 2 Singapore,2017,"Comedy, Romance",Abbas Akbar,Abbas Akbar,"Gokul Anand, Rajesh Balachandiran, Emcee Jesz, Shiva Keshav, Krishnan, Anju Kurian","Chennai2Singapore, "
Forgotten,2017,"Mystery, Thriller",Hang-jun Jang,Hang-jun Jang,"Yeon Je Hyung, Ha-Neul Kang, Mu-Yeol Kim, Na-ra Lee, Seong-kun Mun, Young-hee Na","Forgotten_(1933_film), Forgotten_(2017_film), "
Daybreak,2017,Drama,Gentian Koçi,"Gentian Koçi, Gentian Koçi","Ornela Kapetani, Suzana Prifti, Kasem Hoxha, Hermes Kasimati, Adele Gjoka, Pëllumb Dërvishi, Erjona Kakeli, Jonida Beqo, Zamira Kita, Neritan Liçaj, Indrit Cobani, Kastriot Shehi, Gjergji Trola, Mimoza Zoto, Ermela Ruri","Daybreak_(1948_film), "
Sathya,2017,"Action, Crime, Thriller",Pradeep Krishnamoorthy,,"Sibiraj, Ramya Nambeeshan, Anandraj, Yogi Babu, Varalaxmi Sarathkumar, Sathish, Siddhartha Shankar","Sathya_(1988_film), Sathya_(2017_Tamil_film), "
Lost & Found,2017,"Comedy, Drama",Liam O Mochain,Liam O Mochain,"Liam O Mochain, Norma Sheahan, Brendan Conroy, Aoibhin Garrihy, Liam Carney, Lynette Callaghan, Seamus Hughes, Barbara Adair, Diarmuid Noyes, Olga Wehrly, Anthony Morris, Mary McEvoy, Adam Goodwin, Fionnuala Flaherty, Daniel Costello","Lost_%26_Found_(1999_film), "
Ivan Thanthiran,2017,"Action, Comedy",R. Kannan,R. Kannan,"RJ Balaji, Madhan Bob, Gautham Karthik, Mayilsamy, Shyam Prasad, Bharath Reddy, Stunt Silva, Shraddha Srinath, Dhilip Subbarayan, Sri Vignesh","Ivan_Thanthiran, "
Pandigai,2017,"Action, Thriller",Feroz,Feroz,"Kreshna, Anandhi, Saravanan, Nitin Sathya, Karunas, Pandi, Madhusudhan Rao, Prinz Nithik, Aruldoss, Shanmugha Rajan, Meenal, Aathma Patrick","Pandigai, "
The Chain,2019,Thriller,David Martín Porras,"David Martín Porras, Andres Rosende","Madeline Zima, Adrienne Barbeau, Jamie Clayton, Ray Wise, John Patrick Amedori, Dey Young, Mary Pat Gleason, Kim Johnston Ulrich, Mykel Shannon Jenkins, Chelsea Lopez, Elijah Nelson, Neus Asensi, Shaw Jones, Van Epperson, Lauren Bray","The_Chain_(1984_film), "
Rocky Mental,2017,"Action, Drama, Thriller",Vikram Thori,"Sanjay Saini, Uday Pratap Singh","Parmish Verma, Tannu Kaur Gill, Mahabir Bhullar, Karanveer, Rimple Dhindsa, Jag Singh, Jagjeet Sandhu, Dheeraj Kumar, Kanika Mann, Malkeet Rauni, Jagjit","Rocky_Mental, "
Jezebel,2019,Drama,Numa Perrier,Numa Perrier,"Tiffany Tenille, Numa Perrier, Brett Gelman, Stephen Barrington, Bobby Field, Rockwelle Dortch, Dennis Jaffee, Zoe Tyson, Jessa Zarubica, RiRia, Amy Aitken, Charlie Taylor","Jezebel_(film), "
Ride,2018,Drama,Valerio Mastandrea,"Enrico Audenino, Valerio Mastandrea","Chiara Martegiani, Renato Carpentieri, Stefano Dionisi, Arturo Marchetti, Mattia Stramazzi, Milena Vukotic, Giancarlo Porcacchia, Walter Toschi, Giordano De Plano, Silvia Gallerano, Milena Mancini, Emanuel Bevilacqua, Lino Musella, Danilo Cappanelli, Federico Palmieri","Ride_(1998_film), "
Goutham Nanda,2017,"Action, Drama",Sampath Nandi,Sampath Nandi,"Tottempudi Gopichand, Catherine Tresa, Mukesh Rishi, Chandramohan, Sachin Khedekar, Nikitin Dheer, Ajay, Tanikella Bharani, Pippa Hughes, Vennela Kishore, Hansika Motwani, Vidyullekha Raman, Niko Rusakov, Seetha","Goutham_Nanda, "
Destroyer,2018,"Action, Crime, Drama",Karyn Kusama,"Phil Hay, Matt Manfredi","Nicole Kidman, Toby Kebbell, Tatiana Maslany, Sebastian Stan, Scoot McNairy, Bradley Whitford, Toby Huss, James Jordan, Beau Knapp, Jade Pettyjohn, Shamier Anderson, Zach Villa, Natalia Cordova-Buckley, Colby French, Kelvin Han Yee","Destroyer_(1943_film), Destroyer_(1988_film), "
Muramba,2017,"Comedy, Family",Varun Narvekar,Varun Narvekar,"Sachin Khedekar, Mithila Palkar, Chinmayi Sumit, Amey Wagh","Muramba, "
Fidaa,2017,"Drama, Romance",Sekhar Kammula,"Sekhar Kammula, Chaithanya Pingali","Sai Pallavi, Varun Tej, Sarah Uriarte Berry, Harshvardhan Rane, Aryan Talla","Fidaa, "
Podhuvaga En Manasu Thangam,2017,"Comedy, Romance",Thalapathy Prabhu,,"Parthiban, Nivetha Pethuraj, Soori, Udhayanidhi Stalin","Podhuvaga_En_Manasu_Thangam, "
Bobby,2017,"Comedy, Romance","Shebi Chowghat, Mathews Abraham","V.R. Balagopal, Thomas Chacko","Niranjan, Mia George, Saju Navodaya, Shammi Thilakan, Nisha Sarangh, Sudheer Karamana, Kalasala Babu, Aju Varghese, Hemanth Menon, Sinoj Varghese, Dharmajan Bolgatty, Sasi Kalinga, Kalesh Kannattu, Neena Kurup, Noby Marcose","Bobby_(1973_film), Bobby_(2002_film), "
Matchbox,2017,"Comedy, Romance",Sivaram Mony,"Nikhil Anand, Kenny Peruzzi","Roshan Mathew, Vishak Nair, Drishya Raghunath, Shammi Thilakan, Asokan, Sharath, Rony David, Karthika Kannan, Sai Krishna, Grace Antony","Matchbox_(2017_film), "
Ippadai Vellum,2017,"Action, Comedy",Gaurav Narayanan,Gaurav Narayanan,"Udhayanidhi Stalin, Manjima Mohan, Soori, Daniel Balaji, R.K. Suresh, M.S. Bhaskar, Ena Friedrich, Gajaraj, Raichal Rabecca, Radhika Sarathkumar","Ippadai_Vellum, "
Irumbu Thirai,2018,"Action, Thriller",P.S. Mithran,"P.S. Mithran, Pon Parthiban","Vishal, Samantha Ruth Prabhu, Arjun Sarja, Delhi Ganesh, Robo Shankar, Suman, Vincent Ashokan, Kaali Venkat, Darshana Rajendran, Madhusudhan Rao, G. Marimuthu, Harish, Mahanadhi Shankar, Sharath Ravi, Jeremy Roske","Irumbu_Thirai, "
Paisa Vasool,2017,"Action, Comedy",Puri Jagannadh,"Puri Jagannadh, A. Sreedhar","Nandamuri Balakrishna, Shriya Saran, Vikramjeet Virk, Musskan Sethi, Kyra Dutt, Ali, Joy Badlani, Dhritiman Chatterjee, Pavithra Lokesh, Prudhviraj, Amit Tiwari, Temper Vamsi","Paisa_Vasool, Paisa_Vasool_(2017_film), "
Thupparivaalan,2017,"Action, Crime, Thriller",Mysskin,Mysskin,"Vishal, Prasanna, Vinay Rai, Anu Emmanuel, Andrea Jeremiah, Bhagyaraj, Shaji, John Vijay, Simran, Ashvatt, Abhishek, Abinav, Gr Adithya, Ajitha, Anuska","Thupparivaalan, "
Jora 10 Numbaria,2017,Action,Amardeep Singh Gill,,"Dharmendra, Deep Sidhu, Mukul Dev, Sardar Sohi, Mukesh Tiwari, Hobby Dhaliwal, Yaad Grewal, Kul Sidhu, Sukhwinder Raj, Nitu Pandher, Mahabir Bhullar, Rang Dev, Rose J. Kaur, Aman Hundal, Toni Panesar","Jora_10_Numbaria, "
Brotherhood,2019,Drama,Richard Bell,Richard Bell,"Jake Manley, Brendan Fehr, Dylan Everett, Brendan Fletcher, Spencer Macpherson, Gage Munroe, Evan Marsh, Sam Ashe Arnold, Mike Taylor, Jon Ambrose, Braden Wright, Matthew Isen, Perry Mucci, Daniel Gravelle, Haig McGarry","Brotherhood_(2016_film), "
Maayavan,2017,"Action, Mystery, Sci-Fi",C.V. Kumar,,"Sundeep Kishan, Lavanya Tripathi, Agaran, Augustine, Baby, Daniel Balaji, Eshwaer, Kathi Gopi, Mime Gopi, Akshara Gowda, Gupendran, Hamran, Hari, Jayaprakash, Kalavathi","Maayavan, "
Operation Alamelamma,2017,Thriller,Suni,Suni,"Manish Rishi, Shraddha Srinath, Rajesh Nataranga, Aruna Balaraj, Vijeth Gowda, Pramod Jaya, Karthik, Pranaya Murthy, Dheeraj Shetty, Sumukha","Operation_Alamelamma, "
The System,2018,"Drama, Mystery, Thriller",Irin Daniels,"Irin Daniels, Reginald Kennedy","McMagic Cardenas, Reginald Kennedy, Owen Conway, Prince DeBoskie, Alma Marin, Jessica Morgan, Wendell Burris, Kamilah Sheats, Wakena Deboskie, Sliman Ibraahim Al-Shalan, Rea Jean Alcala, Rudy R. Amador, Deana Anderson, Robert Anderson, Blu-Ray Authoring","The_System_(1953_film), "
Dirty Work,2018,"Drama, Romance",Louisa Warren,Shannon Holiday,"Keely Cat Wells, Claudine-Helene Aumord, Marc Ozall, Stefano Foster, Darrell Griggs, Alper Yagmur, Ezzet-Charbel Baccache, Natalie Brudey, John Callagham, Michael Chis, Danny Coakley, Rene Costa, Jack Edwards, Daniel Eghan, Cassandra French","Dirty_Work_(1998_film), Dirty_Work_(1934_film), "
Nene Raju Nene Mantri,2017,"Action, Thriller",Teja,"Lakshmi Bhoopal, Shivgopal Krishna","Mahesh Achanta, Kajal Aggarwal, Ajay, Rajsekhar Aningi, Annapoorna, Sanjana Anne, Tanikella Bharani, Bindu Chandramouli, Rana Daggubati, Raghu Kumar Karumanchi, Mahesh Kathi, Meena Kumari, Navdeep, Naveen Neni, Venkateswara Rao Paruchuri","Nene_Raju_Nene_Mantri, "
LIE,2017,"Action, Thriller",Hanumantha Rao Raghavapudi,Hanumantha Rao Raghavapudi,"Nithiin, Megha Akash, Ravi Kishan, Prudhviraj, Brahmaji, Arjun Sarja, Ajay, Darbha Appaji Ambarisha, Tom Bonello, Yulian Caesar, Ronald L. Carr, Chandini Chowdary, Roger Julian Cross, Jahnavi Dasetty, Anthony De Jesus","LIE_(film), "
Kurangu Bommai,2017,"Drama, Thriller",Nithilan,"Madonne Ashwin, Nithilan","Vidharth, Bharathiraja, Delna Davis, Thenappan P.L., Kumaravel, Kalki, Krishnamoorthy, Bala Singh, 'Ganja' Karuppu, Rama","Kurangu_Bommai, "
Mahanubhavudu,2017,"Comedy, Drama, Romance",Maruthi Dasari,Maruthi Dasari,"Sharwanand, Mehreen Pirzada, Nasser, Kalyani N., Vennela Kishore, Raghu Babu, Bhadram, Bhanu Sri, Madhumani, Ragini, Rajitha, Kedar Shankar, Venu Tillu","Mahanubhavudu, "
Anando Brahma,2017,"Comedy, Horror",Mahi v Raghav,"Sheik Dawood G., Rajsekhar Pvr","Taapsee Pannu, Rajeev Kanakala, Raghu Kumar Karumanchi, Vennela Kishore, Thagubothu Ramesh, Raja Ravindra, Srinivasa Reddy, Supreeth Reddy, Shakalaka Shankar, Vijayachander","Anando_Brahma, "
Tik Tik Tik,2018,"Action, Sci-Fi, Thriller",Shakti Soundar Rajan,Shakti Soundar Rajan,"Jayam Ravi, Nivetha Pethuraj, Aaron Aziz, Ramesh Thilak, Arjunan, V. Jayaprakash, Vincent Ashokan, Rethika Srinivas, Aarav, Balaji Venugopal, Aathma Patrick","Tik_Tik_Tik, "
Joker,2019,"Crime, Drama, Thriller",Todd Phillips,"Todd Phillips, Scott Silver","Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Shea Whigham, Bill Camp, Glenn Fleshler, Leigh Gill, Josh Pais, Rocco Luna, Marc Maron, Sondra James, Murphy Guyer, Douglas Hodge","Joker_(2011_film), Joker_(2000_film), Joker_(2016_film), Joker_(1993_film), "
Jaya Janaki Nayaka,2017,"Action, Romance",Boyapati Srinu,"M. Rathnam, Boyapati Srinu","Sai Srinivas Bellamkonda, Rakul Preet Singh, Jagapathi Babu, Pragya Jaiswal, Sarath Kumar, Suman, Tarun Arora, Dhanya Balakrishna, Chalapathi Rao, Ocean Navarro, Ester Noronha, Katrina Ross, Shashank, Sithara, Sivannarayana","Jaya_Janaki_Nayaka, "
Abang Long Fadil 2,2017,"Action, Comedy",Syafiq Yusof,Syafiq Yusof,"Zizan Razak, Wak Doyok, A. Galak, Acey Bocey, Tania Hudson, AC Mizal, Shuib Sepah, Syamsul Yusof, Mas Khan, Fad Anuar, Hafiz Bahari, Delimawati","Abang_Long_Fadil_2, "
Arjun Reddy,2017,"Action, Drama, Romance",Sandeep Reddy Vanga,"Sandeep Reddy Vanga, Mandela Pedaswamy","Vijay Deverakonda, Shalini Pandey, Jia Sharma, Kanchana, Sanjay Swaroop, Bhushan Kalyan, Sandhya Janak, Kamal Kamaraju, Padmaja, R.J. Hemant, Rahul Ramakrishna, Priyadarshi, Kalyan Vitappu, Amit Sharma, Sri Sudha","Arjun_Reddy, "
Richie,2017,"Action, Crime",Gautham Ramachandran,,"Nivin Pauly, Nataraja Subramanian, Shraddha Srinath, Prakash Raj","Richie_(film), "
The Silence,2019,"Drama, Horror, Sci-Fi",John R. Leonetti,"Carey Van Dyke, Shane Van Dyke","Stanley Tucci, Kiernan Shipka, Miranda Otto, Kate Trotter, John Corbett, Kyle Breitkopf, Dempsey Bryk, Billy MacLellan, Chris Whitby, Barbara Gordon, Zoe Doyle, Cory O'Brien, Alex Hatz, Gregory Waters, Sarah Abbott","The_Silence_(2015_film), "
Juice,2018,"Biography, Drama",Teppo Airaksinen,"Antti Heikkinen, Antti Heikki Pesonen","Riku Nieminen, Iida-Maria Heinonen, Pekka Strang, Antti Heikkinen, Annaleena Sipilä, Ilkka Heiskanen, Ola Tuominen, Silmu Ståhlberg, Elina Patrakka, Pihla Rekola, Anssi Valikainen, Sakari Karjalainen, Anton Pilli, Tommi Liski, Henri Bister","Juice_(film), "
Vunnadhi Okate Zindagi,2017,Drama,Thirumala Kishore,Thirumala Kishore,"Ram Pothineni, Mahesh Achanta, Anisha Ambrose, Anand, Kaushik Babu, Joy Badlani, Kireeti Damaraju, Kaumudi, Raj Madiraju, Anupama Parameshwaran, Priyadarshi, Lavanya Tripathi, Sree Vishnu","Vunnadhi_Okate_Zindagi, "
Holiday,2018,"Crime, Drama",Isabella Eklöf,"Johanne Algren, Isabella Eklöf","Victoria Carmen Sonne, Lai Yde, Thijs Römer, Yuval Segal, Bo Brønnum, Adam Ild Rohweder, Morten Hemmingsen, Mill Jober, Laura Kjær, Stanislav Sevcik, Saxe Rankenberg Frey, Michiel de Jong, Barbara Lervig, Lewis Oliver James Wallace, Mathias Bengtsson","Holiday_(1938_film), Holiday_(2006_Indian_film), Holiday_(2014_film), "
The Secret Garden,2017,Family,Owen Smith,,"Glennellen Anderson, Amanda Waters, Erin Leigh Bushko, Max River, Sacha A. Dzuba, Mark Ashworth, Hannah Fierman, Paden Garrett Anderson, Michael Vaughn","The_Secret_Garden_(1949_film), The_Secret_Garden_(1993_film), "
Goldie,2019,Drama,Sam de Jong,"Angel Gardner, Sam de Jong","Slick Woods, George Sample III, Danny Hoch, Marsha Stephanie Blake, Gbenga Akinnagbe, Khris Davis, Edwina Findley Dickerson, Alanna Renee Tyler-Tompkins, Jazmyn C Dorsey, Angela Griszell, Jose Rodriguez, ASAP Ferg, Ito Aghayere, Donovan Pierre Coleman, Thaddeus Daniels","Goldie_(1931_film), "
Rukh,2017,"Drama, Mystery",Atanu Mukherjee,"Akash Mohimen, Atanu Mukherjee","Manoj Bajpayee, Smita Tambe, Adarsh Gourav, Subhrajyoti Barat, Ahsaas Channa, Bhushan Vikas, Sandesh Kulkarni, Pawan Singh, Sanjay Bhatia, Siddharth Chanda, Priyanka Charan, Rajeev Gaursingh, Anil Khopkar, Jai Hind Kumar, Kumud Mishra","Rukh_(film), "
Aadu 2,2017,Comedy,Midhun Manuel Thomas,,"Jayasurya, Saiju Kurup, Dharmajan Bolgatty, Bhagath Baby Manuel, Harikrishnan, Vineeth Mohan, Unni Rajan P. Dev, Vinayakan, Vijay Babu, Sunny Wayne, Indrans, Noby Marcose, Baiju, Nelson, Bijukuttan","Aadu_2, "
The Interpreter,2018,"Comedy, Drama",Martin Sulík,"Marek Lescák, Martin Sulík","Peter Simonischek, Jirí Menzel, Zuzana Mauréry, Anita Szvrcsek, Anna Jakab Rakovska, Eva Kramerová, Réka Derzsi, Anikó Varga, Andrej Sebastian Sulik, Lubo Burgr, Karol Simon, Judita Hansman, Igor Hrabinský, Attila Mokos, Roman Polácik","The_Interpreter, "
Missing,2018,"Drama, Mystery, Thriller",Mukul Abhyankar,Mukul Abhyankar,"Manoj Bajpayee, Tabu, Annu Kapoor, Rajesh Jais, Naveen Kaushik, Kali Prasad Mukherjee, Priyanka Setia, Jaswinder Gardner, Shruti Chandana, Ashu Sharma, V.M. Badola, Sudeep Sarangi, Aileena, Shruti Gupta, Neelam","Missing_(1982_film), Missing_(2016_film), "
Little Monsters,2019,"Comedy, Horror, Sci-Fi",Abe Forsythe,Abe Forsythe,"Lupita Nyong'o, Alexander England, Josh Gad, Kat Stewart, Diesel La Torraca, Nadia Townsend, Marshall Napier, Glenn Hazeldine, Ava Caryofyllis, Charlie Whitley, Mason Mansour, Kim Doan, Wolfgang Gledhill, Caliah Pinones, Jack Schuback","Little_Monsters, "
Last Summer,2018,Drama,Jon Jones,Jon Jones,"Noa Thomas, Gruffydd Weston, Rowan Jones, Christopher Benning, Richard Harrington, Steffan Rhodri, Steffan Cennydd, Ruth Ollman, Robert Wilfort, Nia Roberts, Catherine Ayers, Nathan Sussex, Rachel Isaac, Maise Thornton, Byddia Lewis","Last_Summer, "
The Clearing,2020,Horror,David Matalon,David Matalon,"Liam McIntyre, Aundrea Smith, Steven Swadling, Sydelle Noel, Naosheen Ahmed, Erica Allseitz, Shayanne Andujar, Mackenzie Augustin, Silky Bell, Julius Yates Brown, Rommel Casanova, Blair Chambers, Tanasha Clark, Hayden Currie, Felipe Echeballia De Carvalho","The_Clearing_(film), "
Happy Ending,2018,"Comedy, Drama, Romance",Hella Joof,Mette Heeno,"Birthe Neumann, Kurt Ravn, Charlotte Sieling, Marianne Høgsbro, Tammi Øst, Rikke Bilde, Emilie Kroyer Koppel, Mette Munk Plum, Kurt Dreyer, Benjamin Kitter, Claus Flygare, Kenneth M. Christensen, Emily Budde Frederiksen, Camilla Kold Krohn Gade, Mads Kruse","Happy_Ending_(film), "
Tarak,2017,"Action, Drama, Romance",Prakash,,"Avinash, Devaraj, Sruthi Hariharan, Raksha Holla, Jai Jagdeesh, Jasmine Kaar, Sharath Lohitashwa, Rajesh Nataranga, Veronica Otto, Aravind Rao, Chitra Shenoy, Shanvi Srivastava, Sumithra, Darshan Thoogudeep","Tarak_(film), "
War,2019,"Action, Thriller",Siddharth Anand,"Siddharth Anand, Siddharth Anand","Hrithik Roshan, Tiger Shroff, Vaani Kapoor, Ashutosh Rana, Anupriya Goenka, Yash Raaj Singh, Mashhoor Amrohi, Sanjeev Vatsa, Dipannita Sharma, Soni Razdan, Arif Zakaria, Amit Gaur, Obada Adnan, Imran Ahamed, Shahbhaz Akthar","War_(2007_film), War_(2002_film), "
Last Night,2017,Drama,Joyce Bernal,"Bela Padilla, Neil Arce","Piolo Pascual, Toni Gonzaga, Joey Marquez, Lou Veloso, Margie Moran, Illac Diaz, Cholo Barretto, Patrick Sugui, Cedrick Juan","Last_Night_(1998_film), "
The Farm: En Veettu Thottathil,2017,Thriller,Karthik Shamalan,Karthik Shamalan,"Jaya Ganason, K.S. Maniam, Mahesan Poobalan, Mohana Raj","The_Farm:_En_Veettu_Thottathil, "
The Debt Collector,2018,"Action, Comedy",Jesse V. Johnson,"Jesse V. Johnson, Stu Small","Scott Adkins, Louis Mandylor, Vladimir Kulich, Tony Todd, Selina Lo, Rustic Bodomov, Alexa Bondar, Rachel Brann, Kasmira Buchanan, Danice Cabanela, Brian Carroll, Katherine Castillo, Sean Crampton, Esteban Cueto, Michael DeCamp","The_Debt_Collector, "
Anna,2019,"Action, Thriller",Luc Besson,Luc Besson,"Sasha Luss, Helen Mirren, Luke Evans, Cillian Murphy, Lera Abova, Alexander Petrov, Nikita Pavlenko, Anna Krippa, Aleksey Maslodudov, Eric Godon, Ivan Franek, Jean-Baptiste Puech, Adrian Can, Alison Wheeler, Andrew Howard","Anna_(1987_film), "
Mehbooba,2018,"Action, Drama, Romance",Puri Jagannadh,"Puri Jagannadh, Thatavarthi Kiran","Abel, Aditya Alluri, Anish, Anusha, Sreedhar Ar, Awshime, Uday Kumar Bagavathula, Bhavna, Surabhi Chourey, Pramod Chowdary, Roopa Chowdary, Prudhvi Dandamudi, Pinki Dhiman, Sreehari Dhupati, Anshu Dwivedi","Mehbooba, "
Faster Fene,2017,"Action, Crime, Mystery",Aditya Sarpotdar,Kshitij Patwardhan,"Amey Wagh, Girish Kulkarni, Parna Pethe, Dilip Prabhavalkar, Shubham More, Siddarth Jadhav, Anshuman Joshi, Om Bhutkar, Akshay Mudrale, Yogesh Soman, Shrikant Yadav","Faster_Fene, "
Junglee,2019,"Action, Adventure",Chuck Russell,"Adam Prince, Chuck Russell","Vidyut Jammwal, Lars Kjeldsen, Asha Bhat, Vishwanath Chatterjee, Makrand Deshpande, Vicky Kadian, Atul Kulkarni, Ratnesh Mani, Akshay Oberoi, Dinesh Rajpurohit, Rahul Verma Rajput, Pooja Sawant, Abhijit Sinha, Thalaivasal Vijay, Vishwanath","Junglee, "
The Boat,2018,"Horror, Mystery, Thriller",Winston Azzopardi,"Joe Azzopardi, Winston Azzopardi",Joe Azzopardi,"The_Boat_(1921_film), "
